Median pitch,Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Mean autocorrelation,Mean noise-to-harmonics ratio,Mean harmonics-to-noise ratio,clip_name,age,gender
90.104,94.061,13.337,73.491,127.579,152,142,10.721334E-3,1.637605E-3,61.237,9,26.266,2.854,306.031E-6,1.276,1.559,3.827,13.739,1.221,5.965,10.340,14.402,17.894,0.777344,0.362033,7.098,common_voice_en_100034.mp3,fourties,male
87.592,94.238,22.812,75.009,215.604,282,263,10.744894E-3,2.061926E-3,56.698,17,30.209,3.037,326.325E-6,1.221,1.566,3.662,15.128,1.419,6.729,9.831,15.615,20.187,0.796216,0.302392,7.303,common_voice_en_100035.mp3,fourties,male
102.567,123.642,62.530,77.918,296.234,84,77,8.156677E-3,3.009307E-3,78.310,5,10.222,2.767,225.655E-6,1.001,1.137,3.004,23.744,1.771,11.091,17.827,--undefined--,33.272,0.692314,0.497858,4.028,common_voice_en_100036.mp3,fourties,male
202.321,175.709,66.553,78.900,296.151,257,240,5.708883E-3,2.450104E-3,59.485,10,17.949,5.317,303.522E-6,2.761,3.502,8.284,20.180,1.788,8.561,11.598,27.529,25.682,0.711565,0.466305,4.583,common_voice_en_100037.mp3,fourties,male
124.070,149.956,64.956,75.674,282.571,525,485,6.726110E-3,3.008399E-3,47.051,22,28.641,3.971,267.126E-6,2.002,2.202,6.005,18.928,1.607,9.829,12.057,18.549,29.488,0.738547,0.440605,5.834,common_voice_en_100038.mp3,fourties,male
110.436,143.972,59.941,84.090,251.608,167,157,7.094861E-3,2.833557E-3,62.000,4,9.325,3.650,258.991E-6,1.659,2.175,4.976,18.528,1.502,9.536,12.733,12.336,28.609,0.752964,0.397612,6.054,common_voice_en_100039.mp3,fourties,male
89.006,95.216,19.833,74.537,199.741,130,123,10.528791E-3,1.945919E-3,64.070,6,24.828,2.901,305.469E-6,1.185,1.612,3.554,16.062,1.394,6.503,8.828,13.950,19.510,0.812906,0.295674,9.211,common_voice_en_100040.mp3,fourties,male
95.000,96.789,14.270,73.607,128.454,176,164,10.365179E-3,1.561576E-3,59.922,10,26.711,2.622,271.778E-6,1.263,1.553,3.789,13.908,1.254,5.261,7.926,12.514,15.782,0.803612,0.314587,8.097,common_voice_en_100041.mp3,fourties,male
115.379,124.430,37.821,84.957,231.667,100,94,8.229698E-3,1.941444E-3,75.833,3,10.340,2.473,203.533E-6,1.291,1.114,3.873,18.174,1.610,7.340,12.061,--undefined--,22.021,0.777176,0.363828,7.120,common_voice_en_100042.mp3,fourties,male
92.891,95.400,13.977,75.792,151.021,114,106,10.661101E-3,1.658605E-3,68.734,7,26.835,3.255,347.034E-6,1.691,1.989,5.072,16.002,1.373,7.529,9.733,20.887,22.588,0.775590,0.361884,6.718,common_voice_en_100043.mp3,fourties,male
