Median pitch,Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Mean autocorrelation,Mean noise-to-harmonics ratio,Mean harmonics-to-noise ratio,clip_name,age,gender
126.758,123.886,15.237,89.864,160.883,256,252,8.081065E-3,1.034201E-3,47.315,3,5.421,1.359,109.838E-6,0.591,0.771,1.772,11.601,1.055,4.615,6.406,11.977,13.846,0.835203,0.243440,8.846,common_voice_en_10056232.mp3,sixties,male
108.914,115.270,23.714,77.034,167.189,195,186,8.657919E-3,1.800539E-3,58.837,8,25.532,1.955,169.220E-6,0.740,0.868,2.221,13.420,1.203,6.226,8.759,15.749,18.679,0.825187,0.248024,8.256,common_voice_en_10056233.mp3,sixties,male
122.661,123.439,20.610,85.431,175.265,147,142,8.075391E-3,1.335815E-3,65.598,4,9.469,3.340,269.714E-6,1.541,1.775,4.623,16.177,1.394,7.725,10.953,16.091,23.175,0.753819,0.416184,5.962,common_voice_en_10056234.mp3,sixties,male
134.814,126.359,23.433,85.230,164.719,87,83,7.837940E-3,1.584676E-3,75.076,2,12.539,3.417,267.816E-6,1.539,1.543,4.618,17.317,1.538,8.188,10.968,19.976,24.565,0.721125,0.463759,5.041,common_voice_en_10056235.mp3,sixties,male
127.688,135.159,43.079,91.869,270.534,113,107,7.472402E-3,1.972069E-3,69.444,4,14.515,3.374,252.145E-6,1.496,1.883,4.489,15.401,1.451,6.260,9.831,13.857,18.779,0.759279,0.377005,5.909,common_voice_en_10056236.mp3,sixties,male
133.826,138.604,42.483,75.026,213.497,166,158,7.191114E-3,2.362284E-3,74.349,7,12.172,2.652,190.738E-6,0.959,1.049,2.876,14.008,1.345,6.014,10.476,18.435,18.041,0.773726,0.333664,6.093,common_voice_en_10056237.mp3,sixties,male
91.494,91.579,6.538,79.358,105.203,88,83,10.901571E-3,0.784425E-3,79.245,4,14.782,1.695,184.828E-6,0.669,0.868,2.006,13.729,1.312,5.091,8.407,19.509,15.273,0.784582,0.331406,6.621,common_voice_en_10091129.mp3,fifties,male
93.876,100.674,23.501,80.944,232.415,224,217,9.925076E-3,1.805575E-3,55.405,5,21.749,2.855,283.346E-6,1.303,1.411,3.909,13.787,1.294,6.294,8.450,14.734,18.882,0.772801,0.351296,6.060,common_voice_en_10091130.mp3,fifties,male
93.747,98.758,20.080,67.502,211.097,216,205,10.174027E-3,1.830702E-3,69.401,10,11.832,2.749,279.734E-6,1.162,1.395,3.486,12.728,1.219,5.316,7.496,11.202,15.948,0.802482,0.295655,7.300,common_voice_en_10136333.mp3,fourties,male
93.825,102.511,19.691,77.294,146.840,158,151,9.733104E-3,1.762353E-3,64.414,6,9.244,1.997,194.323E-6,0.821,1.056,2.463,13.530,1.204,5.586,7.468,11.601,16.758,0.824703,0.241047,8.035,common_voice_en_10136335.mp3,fourties,male
