Median pitch,Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Mean autocorrelation,Mean noise-to-harmonics ratio,Mean harmonics-to-noise ratio,clip_name,age,gender
103.954,114.482,36.591,76.375,218.468,160,151,8.853818E-3,2.495508E-3,64.136,7,13.317,4.301,380.807E-6,2.038,2.093,6.114,12.603,1.233,5.282,6.033,7.908,15.846,0.832565,0.256981,9.142,common_voice_en_164429.mp3,fourties,male
103.640,105.426,33.156,75.742,295.288,93,88,9.551900E-3,2.243994E-3,58.407,4,14.539,3.360,320.945E-6,0.898,1.012,2.693,13.584,1.203,5.516,8.180,7.960,16.549,0.896400,0.134807,12.153,common_voice_en_164430.mp3,fourties,male
108.308,107.934,19.188,75.390,138.955,121,113,9.344957E-3,1.722186E-3,61.889,7,15.775,5.341,499.084E-6,2.288,3.156,6.865,20.618,1.763,9.518,13.453,25.564,28.555,0.769226,0.351714,5.992,common_voice_en_164431.mp3,fourties,male
124.346,122.613,24.717,75.257,167.440,177,168,8.223227E-3,1.787190E-3,58.101,6,9.694,2.916,239.809E-6,1.402,1.642,4.205,13.078,1.277,5.974,8.325,18.123,17.922,0.792236,0.311857,7.045,common_voice_en_164432.mp3,fourties,male
113.633,128.959,42.652,82.071,227.846,100,98,7.742709E-3,2.472398E-3,66.228,1,3.252,2.627,203.404E-6,1.139,1.285,3.417,12.783,1.094,5.309,8.134,11.246,15.927,0.922107,0.098066,13.062,common_voice_en_164433.mp3,fourties,male
117.910,127.146,37.257,67.621,208.154,186,176,8.008898E-3,2.426766E-3,60.154,8,15.564,3.648,292.201E-6,1.330,1.658,3.989,12.242,1.088,5.123,6.315,8.790,15.368,0.842123,0.250262,9.601,common_voice_en_164434.mp3,fourties,male
137.493,130.967,26.355,80.998,189.052,172,168,7.650452E-3,1.701923E-3,55.298,3,8.676,2.675,204.628E-6,0.713,0.982,2.139,10.139,1.025,4.060,6.307,12.892,12.180,0.896419,0.143135,12.161,common_voice_en_164435.mp3,fourties,male
159.396,153.128,30.282,75.141,200.699,100,99,6.719610E-3,1.959328E-3,71.849,0,0,3.892,261.552E-6,1.501,1.685,4.502,8.370,0.910,2.553,3.990,10.895,7.659,0.896223,0.142779,12.859,common_voice_en_164436.mp3,fourties,male
136.425,139.804,41.138,73.486,229.967,210,201,7.148118E-3,2.159495E-3,61.765,7,17.521,4.422,316.096E-6,1.476,1.757,4.427,12.623,1.145,4.809,7.616,17.800,14.426,0.839285,0.234955,9.518,common_voice_en_164437.mp3,fourties,male
131.790,131.993,29.226,68.117,189.386,159,154,7.650393E-3,1.854950E-3,50.000,3,6.586,3.352,256.466E-6,1.473,1.423,4.420,9.134,0.937,4.160,5.257,8.754,12.480,0.905769,0.131382,13.313,common_voice_en_164438.mp3,fourties,male
91.873,100.593,20.877,76.361,153.315,117,110,10.022466E-3,2.000634E-3,63.091,6,18.777,3.773,378.145E-6,1.354,1.756,4.061,14.631,1.271,5.194,7.080,11.222,15.582,0.848952,0.224285,9.651,common_voice_en_164439.mp3,fourties,male
108.743,112.735,22.386,77.686,161.681,43,40,8.819927E-3,1.786132E-3,82.569,2,3.487,4.033,355.721E-6,1.562,1.732,4.686,11.217,0.966,5.880,6.055,7.578,17.639,0.837944,0.263048,9.186,common_voice_en_164440.mp3,fourties,male
143.532,164.970,48.567,110.359,288.733,139,131,6.136571E-3,1.577585E-3,52.475,4,18.401,3.352,205.705E-6,1.562,1.651,4.687,13.035,1.240,6.105,7.938,11.340,18.314,0.810724,0.305633,8.602,common_voice_en_164441.mp3,fourties,male
119.424,118.886,23.242,77.351,176.223,161,153,8.463801E-3,1.749412E-3,56.748,7,12.493,4.145,350.848E-6,1.522,1.786,4.565,16.456,1.430,4.917,8.624,19.984,14.751,0.834853,0.235809,9.252,common_voice_en_164442.mp3,fourties,male
125.422,126.489,18.199,86.584,159.223,84,80,7.907580E-3,1.197335E-3,62.105,3,27.242,2.885,228.124E-6,1.287,1.649,3.860,11.101,1.160,4.103,5.891,12.786,12.310,0.847664,0.228028,9.815,common_voice_en_164443.mp3,fourties,male
127.079,119.249,26.371,75.517,168.027,101,95,8.521945E-3,2.064545E-3,72.671,5,15.513,4.670,397.955E-6,1.788,2.028,5.365,10.585,1.030,4.886,6.043,10.136,14.658,0.784109,0.344825,7.524,common_voice_en_164444.mp3,fourties,male
90.671,106.180,29.651,75.319,180.216,102,93,9.515925E-3,2.507140E-3,65.101,6,18.113,3.410,324.449E-6,1.287,1.358,3.861,13.473,1.233,5.632,6.798,13.074,16.895,0.814108,0.280495,8.395,common_voice_en_164445.mp3,fourties,male
123.256,124.581,23.516,75.393,160.710,123,115,8.141283E-3,1.782128E-3,68.652,6,12.212,3.173,258.287E-6,1.223,1.436,3.669,11.070,1.054,3.869,5.950,16.540,11.607,0.869594,0.178672,11.068,common_voice_en_164446.mp3,fourties,male
