Median pitch,Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Mean autocorrelation,Mean noise-to-harmonics ratio,Mean harmonics-to-noise ratio,clip_name,age,gender
174.501,174.802,22.822,132.301,222.196,215,212,5.747928E-3,0.787041E-3,58.163,2,1.871,2.097,120.547E-6,1.028,1.203,3.085,9.555,0.958,3.386,4.485,8.899,10.157,0.921364,0.101221,13.442,common_voice_en_17259213.mp3,sixties,female
183.216,192.198,22.972,164.174,256.065,273,266,5.212901E-3,0.582045E-3,63.636,5,13.999,1.473,76.775E-6,0.694,0.745,2.083,9.815,0.972,3.442,5.323,9.656,10.327,0.925531,0.102194,15.428,common_voice_en_17259214.mp3,sixties,female
167.093,171.967,20.817,130.344,256.985,404,397,5.822104E-3,0.688394E-3,45.424,6,14.466,1.674,97.448E-6,0.805,0.923,2.415,9.538,0.942,3.723,5.240,7.463,11.169,0.925870,0.097000,14.125,common_voice_en_17259215.mp3,sixties,female
201.849,213.962,24.358,179.150,257.440,116,113,4.652160E-3,0.549000E-3,77.054,1,6.504,1.730,80.476E-6,0.834,0.797,2.503,7.347,1.028,2.616,3.140,6.622,7.848,0.917065,0.112470,13.868,common_voice_en_17259216.mp3,sixties,female
169.683,175.505,22.996,138.964,248.095,522,511,5.701252E-3,0.717346E-3,47.315,10,17.077,1.728,98.493E-6,0.830,0.933,2.490,9.412,0.957,3.453,4.923,9.768,10.360,0.917826,0.109597,13.379,common_voice_en_17259218.mp3,sixties,female
164.353,167.219,15.828,132.512,200.982,285,274,5.971080E-3,0.593051E-3,61.575,9,28.875,1.956,116.817E-6,0.872,0.936,2.616,9.607,0.990,3.276,5.220,11.720,9.827,0.893034,0.154864,12.432,common_voice_en_17259219.mp3,sixties,female
195.718,203.770,30.729,158.464,267.278,199,197,4.904856E-3,0.715333E-3,70.779,1,5.520,1.306,64.057E-6,0.579,0.681,1.737,9.173,0.931,3.238,4.854,9.343,9.715,0.943482,0.074744,16.109,common_voice_en_17259220.mp3,sixties,female
174.949,177.208,17.123,145.234,224.191,296,285,5.652097E-3,0.556331E-3,58.562,9,28.583,1.615,91.279E-6,0.686,0.721,2.059,9.164,0.966,3.001,4.494,9.609,9.003,0.923485,0.096355,13.655,common_voice_en_17259221.mp3,sixties,female
174.856,178.659,26.298,140.077,257.574,376,370,5.613207E-3,0.815117E-3,50.000,5,14.705,1.910,107.196E-6,0.949,1.085,2.848,8.403,0.860,3.197,4.431,8.026,9.590,0.917577,0.116377,14.380,common_voice_en_17259222.mp3,sixties,female
208.395,206.528,25.930,103.009,249.133,183,181,4.840420E-3,0.698192E-3,60.577,1,0.662,1.580,76.491E-6,0.698,0.749,2.095,9.235,0.846,3.084,4.423,7.203,9.253,0.939422,0.085142,16.565,common_voice_en_17259223.mp3,sixties,female
173.895,176.026,20.145,128.447,224.084,404,390,5.686711E-3,0.679729E-3,53.061,13,26.218,2.692,153.091E-6,1.267,1.273,3.802,11.573,1.120,4.517,5.722,9.720,13.551,0.882829,0.161587,11.159,common_voice_en_17259224.mp3,sixties,female
194.262,208.376,77.079,168.953,565.884,135,133,4.795140E-3,1.170193E-3,74.251,1,1.488,1.551,74.353E-6,0.657,0.765,1.970,8.734,0.888,2.153,3.832,8.569,6.459,0.922281,0.101503,13.413,common_voice_en_17259225.mp3,sixties,female
173.231,184.272,48.577,128.683,511.725,400,388,5.454002E-3,1.004275E-3,54.173,9,19.889,1.873,102.132E-6,0.816,0.885,2.449,10.512,1.082,3.547,5.609,11.844,10.641,0.909400,0.127947,13.398,common_voice_en_17259226.mp3,sixties,female
192.974,199.142,18.714,173.947,247.649,280,276,5.026648E-3,0.470395E-3,55.116,2,6.581,1.464,73.579E-6,0.696,0.796,2.088,8.835,0.954,2.829,4.759,9.160,8.488,0.940690,0.075906,15.538,common_voice_en_17259227.mp3,sixties,female
193.323,193.091,32.570,139.946,247.728,135,132,5.188171E-3,0.918673E-3,72.753,2,7.502,1.725,89.510E-6,0.738,0.758,2.213,9.339,0.995,2.859,4.005,8.883,8.577,0.931381,0.088528,14.916,common_voice_en_17259228.mp3,sixties,female
173.883,176.326,20.402,144.745,231.136,388,379,5.683060E-3,0.658439E-3,50.165,8,24.210,1.759,99.958E-6,0.843,0.850,2.529,9.621,0.995,3.182,4.574,9.312,9.547,0.913363,0.116050,13.479,common_voice_en_17259229.mp3,sixties,female
201.525,211.202,21.401,186.168,245.825,102,99,4.733142E-3,0.483743E-3,80.000,2,7.136,1.425,67.444E-6,0.647,0.701,1.941,6.661,0.743,2.366,3.534,5.525,7.097,0.942060,0.072882,16.184,common_voice_en_17259230.mp3,sixties,female
174.884,173.653,19.617,102.223,224.192,449,439,5.778639E-3,0.745865E-3,46.508,9,22.093,2.088,120.652E-6,0.986,0.977,2.959,9.166,0.932,3.143,4.809,9.812,9.428,0.902532,0.134363,12.759,common_voice_en_17259231.mp3,sixties,female
182.559,184.900,23.209,144.634,222.040,215,210,5.408404E-3,0.697788E-3,64.126,4,10.597,1.625,87.906E-6,0.781,0.888,2.342,9.703,1.142,3.273,5.191,11.165,9.820,0.914626,0.114525,13.726,common_voice_en_17259232.mp3,sixties,female
163.218,166.360,19.256,125.961,229.681,366,361,6.015990E-3,0.670337E-3,46.585,3,6.842,1.542,92.749E-6,0.676,0.764,2.029,10.433,0.988,4.054,6.724,10.009,12.163,0.925169,0.095971,14.155,common_voice_en_17259233.mp3,sixties,female
169.824,174.381,20.506,120.012,250.149,572,562,5.737814E-3,0.661681E-3,39.756,9,14.919,1.802,103.398E-6,0.940,1.018,2.819,8.276,0.855,2.920,4.136,6.763,8.760,0.934177,0.086198,15.297,common_voice_en_17259234.mp3,sixties,female
198.032,193.712,26.800,134.990,236.112,165,157,5.157474E-3,0.771647E-3,70.073,4,4.383,1.662,85.692E-6,0.656,0.685,1.968,8.883,0.833,2.820,4.188,7.956,8.461,0.911450,0.126539,14.029,common_voice_en_17259235.mp3,sixties,female
173.345,174.961,24.634,107.598,266.622,373,363,5.721294E-3,0.785131E-3,51.265,7,16.700,2.673,152.941E-6,1.302,1.488,3.906,10.547,1.008,3.480,5.241,9.773,10.439,0.898759,0.138279,12.432,common_voice_en_17259236.mp3,sixties,female
